SOLICITUD;ESTADO_SOLICITUD;F_SOLCIITUD;F_CARGUE_SOLICITUD;Tipo_Op;ORIGEN;DESTINO;OBSERVACIONES;VIAJE;PLACA;FECHA CITA;CLIENTE;CANAL DE DISTRIBUCIÓN;NEGOCIO;CUMPLE;SEGUIMIENTO;CAUSA;ASIGNADA ;ABECEDARIO;CONS;MES;DIA;CITA REPRO.;TIPOLOGIA;PROPIETARIO;ConductorNombre;ConductorCel;
S2-364043;Confirmada;11/04/2019;11/04/2019;URBANO;SOPO;FACATATIVA;AC CD TC MOSQUERA-PRODIVERSOS RESERVA DE AKORA OBRAS EXTERIORES-OC PEDIDO 06 / CONSTR ALHAMBRA-MADERO-HUERTAS.-LOS ROBLES CASAS SUBETPA 1-CENTRAL DE MUESTRAS-12 DE ABRIL CITA DE 6 AMA 12 M;VS-814796;WGQ337;12/04/2019 12:00;AC CD TC MOSQUERA;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364078;Confirmada;11/04/2019;12/04/2019;URBANO;SOLEDAD;BARRANQUILLA;COLOMBIANA DE COMECIO CITA VIERNES 12 DE ABRIL 12 DEL MEDIO DIA// TOTAL 13 CLIENTES ENTERGAS VIERNES;VS-815065;UYV353;12/04/2019 12:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;CORLANC;SI;;DEMORA DESCARGUE DE UN CLIENTE ANTERIOR;SERVICIO AL CLIENTE;;;;;;;;;;
S2-364087;Confirmada;11/04/2019;11/04/2019;URBANO;SOACHA;FUNZA;SODIMAC MSOQUERA CITA VIERNES 12 ABRIL 6:00 A.M//COLOMBIANA DE COMERCIO FUNZA CITA VIERNES 12 ABRIL 12:00 P.M;VS-814846;SYU098;12/04/2019 12:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;SUMICOL;SI;;;;;;;;;;;;;
S2-364137;Confirmada;11/04/2019;11/04/2019;NACIONAL;SOACHA;IBAGUE;BUITRAGO OROZCO BLANCA AMELI//SALGUERO RODRIGUEZ MIGUEL AN//SODIMAC IBAGUE CITA VIERNES 12 ABRIL 12:00P.M;VS-815036;XFJ102;12/04/2019 12:00;SD IBAGUE;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-364338;;11/04/2019;12/04/2019;URBANO;SABANETA;MEDELLIN;MEDELLIN PARACONSTRUIR S.A.S.CITA VIERNES 12 ABRIL 12AM 754626 33 1;;;12/04/2019 12:00;PARACONSTRUIR;MAYORISTA ;SUMICOL;SI;;;;;;;;;;;;;
S2-362754;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;GIRARDOTA;YUMBO;CITA CRITICA XD 12 DE ABRIL 1  PM CENTRO DISTRIBUCION  YUMBO  ( ARROYOHONDO) CRA  25 A NO- 12-40 XD PURO;;;12/04/2019 13:00;CD YUMBO;#N/A;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-362492;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;SOPO;YUMBO;CITA CRITICA XD 12 DE ABRIL 2 PM CENTRO DISTRIBUCION  YUMBO  ( ARROYOHONDO) CRA  25 A NO- 12-40 XD PURO;VS-813139;TMO539;12/04/2019 14:00;CD YUMBO;#N/A;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-363568;;10/04/2019;13/04/2019;CROSSDOCKING TRAMO 1;SOPO;YUMBO;CITA CRITICA XD 12 DE ABRIL 2 PM CENTRO DISTRIBUCION  YUMBO  ( ARROYOHONDO) CRA  25 A NO- 12-40 XD PURO NO ADELANTARSE AL DESCARGUE;;;12/04/2019 14:00;CD YUMBO;#N/A;REVESTIMIENTO;NO;;INCUMPLE TIEMPO DE CONTRATACIÓN (24 HRS DESPUÉS DE GENERADA LA SOLICITUD);OPERACIONES DE TRANSPORTE;;;;;;;;;;
S2-364344;;11/04/2019;12/04/2019;URBANO;SABANETA;MEDELLIN;MEDELLIN COLOMBIANA DE COMERCIO S.A. CITA VIERNES 12 ABRIL 3 PM 754784 32,4 1;;;12/04/2019 15:00;COLOMBIANA DE COMERCIO S.A.;MAYORISTA ;SUMICOL;SI;;;;;;;;;;;;;
S2-364345;;11/04/2019;12/04/2019;URBANO;SABANETA;MEDELLIN;MEDELLIN  ROCA (MED) CITA VIERNES 12 ABRIL 3 PM 754675 16 1;;;12/04/2019 15:00;ALMACENES E INDUSTRIAS ROCA;CONSTRUCTOR;SUMICOL;NO;;;;;;;;;;;;;
S2-363241;Confirmada;10/04/2019;10/04/2019;NACIONAL;MADRID;CALI;AC CD BODEGA CALI CITA VIERNES 12 DE ABRIL 5 AM // BODEGA CERAMICA CITA VIERNES 12 DE ABRIL 5:30 PM;VS-813978;SUA549;12/04/2019 17:30;BODEGA CERAMICA PALMIRA;#N/A;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364142;Confirmada;11/04/2019;11/04/2019;CROSSDOCKING TRAMO 2;MADRID;BOGOTA;"12  ABR CITA CRITICA   AC49 AC CD TC SUBA RECIBE  DE 6 PM A 8  PM  NOTA LLEVAR AUXILIARES DE DESCARGUE CON ARL AL DIA Y EPP--- LLEVA MUEBLES DE COCINAS ENTREGA POR FUERA DE MALLA EN AC BODEGA EL DORADO---EN AC CD HC VENECIA---EN AC CD TC SANTA LUCIA---- nota vh debe ser furgonado lleva muebles de cocinas---lleva dos sonas norte y sur de bta
";VS-815053;QGQ060;12/04/2019 20:00;AC CD TC SUBA;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364963;Confirmada;12/04/2019;12/04/2019;URBANO;GIRARDOTA;MEDELLIN;CITA CRITICA  12  ABRIL  20:00  AC CD HC UNIVENTAS;VS-815838;VLH082;12/04/2019 20:00;AC CD HC UNIVENTAS;ALMACENES CORONA;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-365009;Confirmada;12/04/2019;12/04/2019;URBANO;SABANETA;MEDELLIN;MEDELLIN AC CD HC UNIVENTAS CITA  VIERNES 12 ABRIL 8 PM 755929 9,2 1;VS-816160;TPV127;12/04/2019 20:00;AC CD HC UNIVENTAS;ALMACENES CORONA;SUMICOL;SI;;;;;;;;;;;;;
S2-362388;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;MADRID;GIRARDOTA;"CITA AC UNIVENTAS EL DIA 12 DE ABRIL 9:00 PM EL DIA VIERNES/EL RESTO CROOS LA VEGA/VA CON VTC CARRO CARROZADO 
";VS-813387;SWN181;12/04/2019 21:00;AC CD HC UNIVENTAS;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
